source name	characteristics[organism]	characteristics[organism part]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[developmental stage]	characteristics[disease]	characteristics[ancestry category]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	Material Type	assay name	Technology Type	comment[proteomexchange accession number]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD020192-Sample-1	Homo sapiens	Brain	Frontal cortex	not applicable	not applicable	adult	Normal	not available	1	not available	not available	tissue	Frontal cortex 1	proteomic profiling by mass spectrometry	PXD020192	S1_Frontal_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S1_Frontal_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	10 ppm	0.02 Da	Frontal cortex
PXD020192-Sample-2	Homo sapiens	Brain	Frontal cortex	not applicable	not applicable	adult	Normal	not available	2	not available	not available	tissue	Frontal cortex 2	proteomic profiling by mass spectrometry	PXD020192	S2_Frontal_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S2_Frontal_2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	10 ppm	0.02 Da	Frontal cortex
PXD020192-Sample-3	Homo sapiens	Brain	Parietal lobe	not applicable	not applicable	adult	Normal	not available	1	not available	not available	tissue	Parietal lobe 1	proteomic profiling by mass spectrometry	PXD020192	S3_Parietal_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S3_Parietal_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	10 ppm	0.02 Da	Parietal lobe
PXD020192-Sample-4	Homo sapiens	Brain	Parietal lobe	not applicable	not applicable	adult	Normal	not available	2	not available	not available	tissue	Parietal lobe 2	proteomic profiling by mass spectrometry	PXD020192	S4_Parietal_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S4_Parietal_2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	10 ppm	0.02 Da	Parietal lobe
PXD020192-Sample-5	Homo sapiens	Brain	Temporal lobe	not applicable	not applicable	adult	Normal	not available	1	not available	not available	tissue	Temporal lobe 1	proteomic profiling by mass spectrometry	PXD020192	S5_Temporal_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S5_Temporal_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	10 ppm	0.02 Da	Temporal lobe
PXD020192-Sample-6	Homo sapiens	Brain	Temporal lobe	not applicable	not applicable	adult	Normal	not available	2	not available	not available	tissue	Temporal lobe 2	proteomic profiling by mass spectrometry	PXD020192	S6_Temporal_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S6_Temporal_2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	10 ppm	0.02 Da	Temporal lobe
PXD020192-Sample-7	Homo sapiens	Brain	Occipital cortex	not applicable	not applicable	adult	Normal	not available	1	not available	not available	tissue	Occipital cortex 1	proteomic profiling by mass spectrometry	PXD020192	S7_Occipital_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S7_Occipital_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	10 ppm	0.02 Da	Occipital cortex
PXD020192-Sample-8	Homo sapiens	Brain	Occipital cortex	not applicable	not applicable	adult	Normal	not available	2	not available	not available	tissue	Occipital cortex 2	proteomic profiling by mass spectrometry	PXD020192	S8_Occipital_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S8_Occipital_2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	10 ppm	0.02 Da	Occipital cortex
PXD020192-Sample-9	Homo sapiens	Brain	Cerebellum	not applicable	not applicable	adult	Normal	not available	1	not available	not available	tissue	Cerebellum 1	proteomic profiling by mass spectrometry	PXD020192	S9_Cerebellum_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S9_Cerebellum_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	10 ppm	0.02 Da	Cerebellum
PXD020192-Sample-10	Homo sapiens	Brain	Cerebellum	not applicable	not applicable	adult	Normal	not available	2	not available	not available	tissue	Cerebellum 2	proteomic profiling by mass spectrometry	PXD020192	S10_Cerebellum_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S10_Cerebellum_2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	10 ppm	0.02 Da	Cerebellum
